EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
873349,BABOQUIVARI MOUNTAINS (ZONE), ,01/07/2020,0,Cold/Wind Chill, , ,1,0,0,0,AZ,MST-7, ,145457,Z,515,TWC,0,0,County Official, , , , , , , , ,01/07/2020,900, , , , ,"Temperatures in the 30s were observed with wind chills in the 20s during the predawn hours of January 7th. The Pima County Medical Examiner confirmed that hypothermia was the primary cause of death for one adult male. The death occurred in the Baboquivari Mountains.","Cold temperatures for January were observed on the Tohono O'odham Nation. One cold-related death occurred in the Baboquivari Mountains.",1
870074,WESTERN MOGOLLON RIM (ZONE), ,01/09/2020,1630,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,144881,Z,15,FGZ,0,0,Social Media, , , , , , , , ,01/09/2020,2230, , , , ,"Eight inches of snow was reported in Kachina Village and Mountanire.","A fast-moving low pressure system brought rain and snow to northern Arizona January 9. The greatest amounts fell over the Western Mogollon Rim.",2
870080,LITTLE COLORADO RIVER VALLEY IN COCONINO COUNTY (ZONE), ,02/03/2020,330,High Wind,56.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,12,FGZ,0,0,Department of Highways, , , , , , , , ,02/03/2020,1430, , , , ,"The ADOT wind sensor at Two Guns reported a peak wind gust of 64 MPH at 353 AM. Wind gusts exceeded 58 MPH from 330 AM to 220 PM.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",3
870079,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,02/03/2020,855,High Wind,68.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,14,FGZ,0,0,ASOS, , , , , , , , ,02/03/2020,1945, , , , ,"Very strong winds were felt across the Little Colorado River Valley Apache County. Sustained winds over 40 MPH were felt for over 9 hours in St Johns and Springerville. Peak wind gusts include Springervile 78 MPH at 135 PM, St Johns 70 MPH at 243 PM, and Lupton 60 MPH at 212 PM. There were multiple reports of downed power poles in Springerville and Eagar.  Trees were blown down in Concho and Show Low.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",4
870077,LITTLE COLORADO RIVER VALLEY IN NAVAJO COUNTY (ZONE), ,02/03/2020,900,High Wind,59.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,13,FGZ,0,0,ASOS, , , , , , , , ,02/03/2020,1420, , , , ,"The Winslow Airport ASOS recorded frequent sustained winds of 40 MPH or higher from 900 AM to 220 PM. The peak wind gusts of 60 MPH were recorded from 1135 to 1140 AM. The Taylor Airport reported a peak wind gust of 68 MPH at 1055 AM.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",5
870081,WHITE MOUNTAINS (ZONE), ,02/03/2020,930,High Wind,56.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,17,FGZ,0,0,ASOS, , , , , , , , ,02/03/2020,1630, , , , ,"The peak wind gust at the Show Low Airport Show Low was 64 MPH at 1035 AM. The winds gusted over 58 MPH between 1015 AM and 3 PM. The sustained winds were above 40 MPH between 930 AM and 430 PM.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",6
870075,CHUSKA MOUNTAINS AND DEFIANCE PLATEAU (ZONE), ,02/03/2020,1313,High Wind,50.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,11,FGZ,0,0,ASOS, , , , , , , , ,02/03/2020,1313, , , , ,"The peak wind gust at the Window Rock Airport was 58 MPH between 113 PM and 153 PM.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",7
870078,EASTERN MOGOLLON RIM (ZONE), ,02/03/2020,1355,High Wind,50.00, ,0,0,0,0,AZ,MST-7,MG,144882,Z,16,FGZ,0,0,AWOS, , , , , , , , ,02/03/2020,1355, , , , ,"The wind sensor at the Mogollon Airpark near Heber reported a peak wind gust of 58 MPH at 155 PM.","A strong cold front brought high winds to portions of northern Arizona on February 3rd.",8
870084,WHITE MOUNTAINS (ZONE), ,02/10/2020,1900,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,144884,Z,17,FGZ,0,0,Trained Spotter, , , , , , , , ,02/11/2020,900, , , , ,"Eight to nine inches of snow fell in the Alpine area.","A cut-off low moved over northern Arizona with the heaviest snow over Yavapai County and southern Apache counties.",9
870083,YAVAPAI COUNTY MOUNTAINS (ZONE), ,02/11/2020,100,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,144884,Z,8,FGZ,0,0,Public, , , , , , , , ,02/11/2020,700, , , , ,"Ten inches of snow fell in Walker at an elevation of 6,400 feet.  Nine inches of snow fell in Crown King at an elevation of 5,800 feet.  Four to eight inches of snow fell in the Prescott and Prescott Valley area.","A cut-off low moved over northern Arizona with the heaviest snow over Yavapai County and southern Apache counties.",10
