EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1074324,YAVAPAI COUNTY MOUNTAINS (ZONE), ,01/01/2023,630,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,176175,Z,8,FGZ,0,0,Trained Spotter, , , , , , , , ,01/02/2023,1500, , , , ,"Snowfall reports across Yavapai county include (in inches): Walker 8.5, 1 ESE Prescott Courthouse 6.0, and 3 S Prescott Valley 4.0.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",1
1074322,EASTERN MOGOLLON RIM (ZONE), ,01/01/2023,800,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,176175,Z,16,FGZ,0,0,Trained Spotter, , , , , , , , ,01/02/2023,1200, , , , ,"Twenty inches of new snow fell in Forest Lakes.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",2
1069657,YAVAPAI CO.,WEST SEDONA,01/01/2023,1000,Flood, , ,0,0,0,0,AZ,MST-7, ,176175,C,25,FGZ,0,0,Official NWS Observations,Heavy Rain / Snow Melt, , ,4,NNE,5,N,CORNVILLE,01/02/2023,2000,34.9313,-111.7447,34.7974,-111.9026,"Oak Creek began to rise at the river gauge in Sedona 1100 AM on January 1 (550 CFS), crested at over 4,500 CFC at around 500 PM (a 4 foot rise), and then returned to near normal by 1100 AM on January 2.  The Oak Creek gauge near Cornville began to rise at 400 PM on January 1 (440 CFS), crested at over 4,000 CFC in the action stage at around 900 PM (a 4.9 foot rise), and then returned to near normal after 500 PM on January 2. A video on social media showed flooding of low water crossings on Oak Creek near Rainbow Mobile Home Park and The Rainbow Trout Farm.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",3
1062475,GALIURO AND PINALENO MOUNTAINS (ZONE), ,01/01/2023,1000,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,175238,Z,511,TWC,0,0,Public, , , , , , , , ,01/02/2023,400, , , , ,"At the Mount Graham observatory, about 12 of snow occurred.","A winter storm produced significant snow in the higher elevations of southeast Arizona. Rain and strong winds affected the valleys. A few thunderstorms also occurred across Pima and Pinal counties. One storm downed a tree causing significant damage to a residence in Marana.",4
1069659,WESTERN MOGOLLON RIM (ZONE), ,01/01/2023,1100,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,176175,Z,15,FGZ,0,0,Public, , , , , , , , ,01/02/2023,1000, , , , ,"Eight inches of snow fell in Kachina Village between 300 PM and 1000 PM.  Other snow totals across the Western Mogollon Rim include (in inches): Kachina Village 12.5, Flagstaff Airport 12.1,  Munds Park 12.0, Williams 11.0, Bellemont (NWS Flagstaff) |10.8,  5 WSW Parks 9.5, and 5 E Mountainaire 9.0.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",5
1074323,GRAND CANYON COUNTRY (ZONE), ,01/01/2023,1130,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,176175,Z,6,FGZ,0,0,Trained Spotter, , , , , , , , ,01/02/2023,1800, , , , ,"Ten inches of new snow fell at the South Rim of The Grand Canyon.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",6
1062474,WHITE MOUNTAINS OF GRAHAM AND GREENLEE COUNTIES (ZONE), ,01/01/2023,1200,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,175238,Z,510,TWC,0,0,SNOTEL, , , , , , , , ,01/02/2023,600, , , , ,"About 12 of snow occurred in the higher elevations of northern Greenlee County in the Hannagan Meadow area.","A winter storm produced significant snow in the higher elevations of southeast Arizona. Rain and strong winds affected the valleys. A few thunderstorms also occurred across Pima and Pinal counties. One storm downed a tree causing significant damage to a residence in Marana.",7
1069658,WHITE MOUNTAINS (ZONE), ,01/01/2023,1300,Heavy Snow, , ,0,0,0,0,AZ,MST-7, ,176175,Z,17,FGZ,0,0,Trained Spotter, , , , , , , , ,01/02/2023,1800, , , , ,"Ten inches of snow fell near McNary by 800 PM. Eight inches of snow fell in Show Low by 800 on January 2. Pinetop-Lakeside received 16 inches of snow.","A long wave trough moved across Arizona on on New Year's Day with bringing widespread precipitation. Snow levels were initially relatively high for this time of the year.  The snow levels dropped rapidly as a cold front associated with the trough moved across the area. The heavy rain and rain on snow caused flooding in the lower elevations.",8
1077842,PIMA CO.,MARANA,01/01/2023,1650,Thunderstorm Wind,43.00, ,0,0,7000,0,AZ,MST-7,EG,175238,C,19,TWC,0,0,Fire Department/Rescue, , , ,0,N,0,N,MARANA,01/01/2023,1650,32.45,-111.22,32.45,-111.22,"Thunderstorm winds downed a shallow-rooted tree which fell onto a mobile home, causing significant roof and wall damage.","A winter storm produced significant snow in the higher elevations of southeast Arizona. Rain and strong winds affected the valleys. A few thunderstorms also occurred across Pima and Pinal counties. One storm downed a tree causing significant damage to a residence in Marana.",9
1077662,PINAL CO.,FLORENCE JCT,01/01/2023,1700,Flash Flood, , ,0,0,0,0,AZ,MST-7, ,177265,C,21,PSR,0,0,Fire Department/Rescue,Heavy Rain, , ,2,NNE,2,NNE,FLORENCE JCT,01/01/2023,2000,33.2992,-111.3157,33.3003,-111.3102,"Floodwater out of Whitlow Canyon led to the closure of Silver King Rd. The employee from Queen Valley Fire Department said it was the highest flow he has ever seen. A Pinal County Flood Control streamflow gauge on Queen Creek at El Camino Viejo measured peak flow around 7 feet. No damages or injuries were reported.","A strong low pressure system moved across the southwestern U.S. on the 1st, delivering moderate to locally heavy rainfall activity as well as embedded thunderstorm activity. Moisture values were well above normal for early January, with Precipitable water values ranged between 0.8-1. There was also some instability present, with Mixed Layer CAPE values between 100-500 J/KG, resulting in the formation of thunderstorms. The combination of the favorable moisture and instability parameters along with the strong dynamical forcing from the low pressure system resulted in very favorable conditions for a widespread swath of moderate to locally heavy rainfall to affect most of south-central Arizona. Rainfall amounts on average were under an inch across the lower deserts, however, across the higher terrain amounts were significantly higher, between 1-3.",10
