EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1046781,MARICOPA CO.,NORTON,07/16/2022,2030,Thunderstorm Wind,52.00, ,0,0,5000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Social Media, , , ,2,N,2,N,NORTON,07/16/2022,2030,33.4356,-112.4271,33.4356,-112.4271,"Social media images showed a large uprooted tree caused damage to a sidewalk. Winds were estimated at 60 mph. Timing estimated from radar. No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",400
1046780,MARICOPA CO.,LIBERTY,07/16/2022,2043,Thunderstorm Wind,52.00, ,0,0,20000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Broadcast Media, , , ,2,SW,2,SW,LIBERTY,07/16/2022,2043,33.3648,-112.4998,33.3648,-112.4998,"Video showed roof torn off of the Bales Hay Farm and Ranch Feed Store located on West Beloat Road in Buckeye. Winds were estimated at 60 mph. Timing estimated from radar. No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",401
1046777,TONOPAH DESERT (ZONE), ,07/16/2022,2045,Dust Storm, , ,0,0,0,0,AZ,MST-7, ,172437,Z,538,PSR,0,0,Social Media, , , , , , , , ,07/16/2022,2055, , , , ,"Video and report showed visibility down to a few feet. No accidents or injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",402
1046778,MARICOPA CO.,VALENCIA,07/16/2022,2050,Thunderstorm Wind,52.00, ,0,0,10000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Trained Spotter, , , ,1,NW,1,NW,VALENCIA,07/16/2022,2050,33.392,-112.5909,33.392,-112.5909,"Report from spotter of solar panels peeled off roofs and large trees 1-2 feet downed near the intersection of West Southern Avenue and South Miller Road in Buckeye. Winds were estimated at 60 mph. Timing estimated from radar. No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",403
1046779,MARICOPA CO.,BUCKEYE,07/16/2022,2050,Thunderstorm Wind,52.00, ,0,0,5000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Law Enforcement, , , ,0,WNW,0,WNW,BUCKEYE,07/16/2022,2050,33.3708,-112.5841,33.3708,-112.5841,"Images from the Buckeye Police Department showed downed trees and power lines in Downtown Buckeye. Winds were estimated at 60 mph. Timing estimated from radar.  No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",404
1046776,MARICOPA CO.,TONOPAH,07/16/2022,2110,Thunderstorm Wind,52.00, ,0,0,5000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Social Media, , , ,3,ENE,3,ENE,TONOPAH,07/16/2022,2110,33.5078,-112.885,33.5078,-112.885,"Images from social media showed a house with a damaged garage door and fence at 387th Avenue near Cameback Road in Tonopah. Winds were estimated near 60 mph. Timing estimated from radar. No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",405
1046775,MARICOPA CO.,TONOPAH,07/16/2022,2120,Thunderstorm Wind,52.00, ,0,0,5000,0,AZ,MST-7,EG,172437,C,13,PSR,0,0,Storm Chaser, , , ,13,W,13,W,TONOPAH,07/16/2022,2120,33.523,-113.1619,33.523,-113.1619,"Images taken from storm chaser passing through the area showed power lines down as well as a destroyed metal shed on Harquahala Valley Road just north of West Bethany Home Road west of Tonopah. Winds were estimated at 60 mph. Timing was estimated from radar. No injuries were reported.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",406
1046689,MARICOPA CO.,SUNFLOWER,07/16/2022,2230,Thunderstorm Wind,52.00, ,0,0,0,0,AZ,MST-7,MG,172437,C,13,PSR,0,0,Mesonet, , , ,10,WSW,10,WSW,SUNFLOWER,07/16/2022,2230,33.8121,-111.632,33.8121,-111.632,"A mesonet station at Bartlett Lake measured a 60 mph wind gust.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",407
1046690,MARICOPA CO.,CAREFREE,07/16/2022,2240,Thunderstorm Wind,50.00, ,0,0,0,0,AZ,MST-7,MG,172437,C,13,PSR,0,0,Mesonet, , , ,14,ENE,14,ENE,CAREFREE,07/16/2022,2240,33.9835,-111.7079,33.9835,-111.7079,"A mesonet station at Horseshoe Dam measured a wind gust of 58 mph.","An upper-level disturbance tracking through the southern half of Arizona along with moderate instability with MUCAPE values greater than 1000 J/kg and 20-30 kts of deep layer shear resulted in a favorable environment for the development of strong to severe thunderstorms. Thunderstorms first began to develop during the late afternoon hours across the higher terrain, in southern Gila County, and then descended towards the lower elevations, affecting the Phoenix metro, during the evening hours.",408
1147703,BUCKEYE/AVONDALE (ZONE), ,07/17/2022,0,Heat, , ,1,0,0,0,AZ,MST-7, ,186983,Z,540,PSR,0,0,County Official, , , , , , , , ,07/17/2022,2359, , , , ,"One direct fatality was reported by the Maricopa County Department of Public Health, with their details, such as age, gender, circumstances, and exact location unavailable.","A strong upper level ridge situated over the Desert Southwest led to well above normal temperatures along with excessive heat conditions at times. Temperatures during this time at Phoenix Sky Harbor peaked on the 16th at 114 degrees. According to the Maricopa County Department of Public Health, 64 heat-associated fatalities occurred during this time.",409
